Year (year),Name of the state (state_name),Name of the district (district_name),Name of the block (block_name),Name of the Gram Panchayat (gp_name),Number of registered households (reg_hh),Number of registered persons (reg_pers),Number of deleted job cards for households (del_jobcards_hh),Number of deleted job cards for persons (del_jobcards_pers),Number of included job cards for households (incl_jobcards_hh),Number of included job cards for persons (incl_jobcards_pers),Cumulative job cards issued for Scheduled Castes for households (cumul_hh_jobcards_sc),Cumulative job cards issued for Scheduled Tribes for households (cumul_hh_jobcards_sts),Cumulative job cards issued for other categories for households (cumul_hh_jobcards_others),Total cumulative job cards issued for all categories for households (cumul_hh_jobcards_tot),Number of households demanding employment (emp_demand_hh),Number of persons demanding employment (emp_demand_pers),Number of households offered employment (emp_offer_hh),Number of persons offered employment (emp_offer_pers),Number of households availing employment (emp_avail_hh),Number of persons availing employment (emp_avail_pers),Total person-days of employment availed (emp_avail_tot_persondays),Person-days of employment availed under central liability (emp_avail_central_persondays),Person-days of employment availed under state's liability (emp_avail_states_persondays),Number of households completing 100 days of employment (fam_completed_100_days),Number of households benefiting from land reform or IAY schemes (land_reform_benef_hh),Number of disabled individuals benefiting from the scheme (disabled_benef_indiv)
"2015-2016","Uttar Pradesh","Ambedkar Nagar","Akbarpur","Naseerpur Kathi","267.0","525.0","1.0","2.0","15.0","24.0","124.0","0.0","123.0","247.0","98.0","140.0","98.0","140.0","70.0","92.0","893.0","893.0","0.0","0.0","0.0","0.0"
"2014-2015","Rajasthan","Udaipur","Sarada","Prsaad","1135.0","3264.0","0.0","5.0","6.0","16.0","27.0","840.0","266.0","1133.0","427.0","595.0","426.0","593.0","309.0","411.0","12106.0","12106.0","0.0","37.0","4.0","0.0"
"2019-2020","Karnataka","Mysuru","Tirumakudal-Narsipur","Kodagahalli","1621.0","3488.0","2.0","2.0","21.0","48.0","77.0","3.0","1541.0","1621.0","278.0","474.0","277.0","464.0","268.0","439.0","13056.0","13056.0","0.0","34.0","0.0","1.0"
"2014-2015","Himachal Pradesh","Chamba","Bharmour","Ulansa","295.0","870.0","0.0","0.0","0.0","2.0","99.0","156.0","37.0","292.0","135.0","167.0","135.0","167.0","123.0","148.0","2318.0","2318.0","0.0","0.0","7.0","1.0"
"2018-2019","West Bengal","Maldah","Kaliachak-Iii","Akandabaria","3845.0","7828.0","0.0","0.0","53.0","138.0","790.0","3.0","3052.0","3845.0","495.0","848.0","495.0","848.0","394.0","631.0","33024.0","33024.0","0.0","94.0","0.0","1.0"
"2023-2024","Chhattisgarh","Balrampur","Rajpur","Sidhma","499.0","866.0","7.0","19.0","0.0","0.0","2.0","273.0","196.0","471.0","270.0","450.0","270.0","450.0","189.0","315.0","5777.0","5777.0","0.0","5.0","0.0","2.0"
"2014-2015","Uttar Pradesh","Sultanpur","Akhand Nagar","Paudhan Rampur","301.0","514.0","0.0","0.0","0.0","0.0","69.0","0.0","230.0","299.0","44.0","44.0","44.0","44.0","44.0","44.0","315.0","315.0","0.0","0.0","2.0","0.0"
"2019-2020","Uttar Pradesh","Mathura","Mathura","Nagla Kashi","175.0","310.0","1.0","2.0","0.0","3.0","116.0","0.0","59.0","175.0","119.0","191.0","119.0","191.0","117.0","179.0","5944.0","5944.0","0.0","7.0","0.0","0.0"
"2016-2017","Uttar Pradesh","Amroha","Amroha","Qayam Pur Urf Qarar Nagar","323.0","391.0","12.0","19.0","44.0","79.0","122.0","0.0","196.0","318.0","149.0","171.0","149.0","171.0","130.0","149.0","2888.0","2888.0","0.0","1.0","0.0","0.0"
"2014-2015","Meghalaya","West Khasi Hills","Nongstoin","Weiteng","2.0","7.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2023-2024","Uttar Pradesh","Shamli","Un","Patni Partapur","379.0","485.0","1.0","2.0","0.0","0.0","25.0","0.0","272.0","297.0","40.0","50.0","40.0","50.0","37.0","46.0","842.0","842.0","0.0","0.0","0.0","0.0"
"2020-2021","Andhra Pradesh","Chittoor","Punganur","Sugalimitta","413.0","1019.0","0.0","0.0","13.0","23.0","4.0","350.0","59.0","413.0","262.0","405.0","262.0","405.0","206.0","301.0","10187.0","10187.0","0.0","38.0","0.0","3.0"
"2018-2019","Tamil Nadu","Villupuram","Koliyanur","Melpathi","602.0","1156.0","2.0","9.0","11.0","34.0","201.0","1.0","390.0","592.0","550.0","869.0","550.0","869.0","479.0","676.0","6029.0","6029.0","0.0","0.0","0.0","9.0"
