Year (year),Name of the state (state_name),Name of the district (district_name),Name of the block (block_name),Name of the Gram Panchayat (gp_name),Number of registered households (reg_hh),Number of registered persons (reg_pers),Number of deleted job cards for households (del_jobcards_hh),Number of deleted job cards for persons (del_jobcards_pers),Number of included job cards for households (incl_jobcards_hh),Number of included job cards for persons (incl_jobcards_pers),Cumulative job cards issued for Scheduled Castes for households (cumul_hh_jobcards_sc),Cumulative job cards issued for Scheduled Tribes for households (cumul_hh_jobcards_sts),Cumulative job cards issued for other categories for households (cumul_hh_jobcards_others),Total cumulative job cards issued for all categories for households (cumul_hh_jobcards_tot),Number of households demanding employment (emp_demand_hh),Number of persons demanding employment (emp_demand_pers),Number of households offered employment (emp_offer_hh),Number of persons offered employment (emp_offer_pers),Number of households availing employment (emp_avail_hh),Number of persons availing employment (emp_avail_pers),Total person-days of employment availed (emp_avail_tot_persondays),Person-days of employment availed under central liability (emp_avail_central_persondays),Person-days of employment availed under state's liability (emp_avail_states_persondays),Number of households completing 100 days of employment (fam_completed_100_days),Number of households benefiting from land reform or IAY schemes (land_reform_benef_hh),Number of disabled individuals benefiting from the scheme (disabled_benef_indiv)
"2017-2018","Haryana","Kurukshetra","Thanesar","Dera Chakjagatia","19.0","27.0","0.0","0.0","0.0","0.0","2.0","0.0","17.0","19.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2023-2024","Madhya Pradesh","Khargone","Khargone","Aghavan","290.0","793.0","0.0","0.0","3.0","4.0","30.0","6.0","238.0","274.0","56.0","98.0","56.0","98.0","51.0","82.0","1302.0","1302.0","0.0","0.0","0.0","0.0"
"2016-2017","Tamil Nadu","Salem","Gangavalli","Jangamasamudram","742.0","966.0","137.0","228.0","24.0","52.0","173.0","271.0","296.0","740.0","686.0","773.0","686.0","773.0","686.0","772.0","34453.0","34453.0","0.0","11.0","0.0","1.0"
"2021-2022","Maharashtra","Satara","Satara","Borgoan","477.0","672.0","0.0","0.0","74.0","117.0","83.0","2.0","216.0","301.0","44.0","62.0","44.0","61.0","38.0","53.0","452.0","452.0","0.0","0.0","0.0","0.0"
"2014-2015","Uttar Pradesh","Deoria","Tarkulwa","Laxmipur/Balpurshrinagar","122.0","142.0","0.0","0.0","5.0","6.0","7.0","1.0","114.0","122.0","46.0","46.0","46.0","46.0","33.0","33.0","836.0","836.0","0.0","0.0","0.0","0.0"
"2021-2022","Uttarakhand","Champawat","Barakot","Chamroli","156.0","208.0","2.0","4.0","1.0","1.0","1.0","0.0","155.0","156.0","109.0","146.0","109.0","146.0","106.0","140.0","4520.0","4520.0","0.0","5.0","0.0","0.0"
"2015-2016","Uttar Pradesh","Bareilly","Bhuta","Bebal Barkatpur","543.0","672.0","0.0","0.0","15.0","34.0","123.0","0.0","420.0","543.0","331.0","347.0","331.0","347.0","309.0","320.0","3852.0","3852.0","0.0","0.0","0.0","0.0"
"2022-2023","Manipur","Kangpokpi","Saitu Gamphazol","Khongkhaijang","26.0","66.0","0.0","0.0","0.0","0.0","0.0","26.0","0.0","26.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2014-2015","Chhattisgarh","Raigarh","Sarangarh","Budeli","250.0","732.0","0.0","0.0","2.0","2.0","67.0","42.0","140.0","249.0","113.0","220.0","113.0","220.0","84.0","155.0","2559.0","2559.0","0.0","3.0","0.0","0.0"
"2014-2015","Gujarat","Kheda","Kathlal","Bhatera","122.0","207.0","1.0","2.0","23.0","62.0","2.0","1.0","119.0","122.0","37.0","47.0","37.0","47.0","28.0","33.0","356.0","356.0","0.0","0.0","1.0","6.0"
"2023-2024","Madhya Pradesh","Rewa","Hanumana","Durgauli","284.0","554.0","6.0","24.0","1.0","10.0","86.0","51.0","128.0","265.0","100.0","175.0","100.0","175.0","100.0","175.0","3263.0","3263.0","0.0","0.0","0.0","0.0"
"2015-2016","Maharashtra","Nanded","Kandhar","Kartala","197.0","686.0","0.0","0.0","0.0","0.0","3.0","1.0","193.0","197.0","14.0","20.0","14.0","20.0","12.0","17.0","384.0","384.0","0.0","0.0","0.0","0.0"
"2023-2024","Gujarat","Bharuch","Jhagadia","Indore","473.0","1292.0","0.0","0.0","0.0","5.0","68.0","108.0","282.0","458.0","3.0","8.0","3.0","8.0","2.0","6.0","90.0","90.0","0.0","0.0","0.0","0.0"
"2021-2022","Telangana","Jangaon","Lingala Ghanpur","Nagaram","376.0","780.0","4.0","5.0","1.0","2.0","130.0","0.0","246.0","376.0","187.0","239.0","179.0","227.0","188.0","232.0","10834.0","10718.0","116.0","16.0","0.0","13.0"
"2022-2023","Uttar Pradesh","Rae Bareli","Amawan","Rupamau","635.0","970.0","167.0","317.0","42.0","102.0","210.0","2.0","371.0","583.0","232.0","282.0","232.0","282.0","228.0","278.0","10367.0","10367.0","0.0","24.0","0.0","0.0"
"2022-2023","Tamil Nadu","Karur","Aravakurichi","Modakkur East","447.0","630.0","26.0","64.0","15.0","24.0","151.0","1.0","255.0","407.0","294.0","343.0","294.0","343.0","268.0","293.0","17548.0","17548.0","0.0","51.0","0.0","4.0"
"2016-2017","Karnataka","Tumakuru","Turuvekere","Mayasandra","778.0","1923.0","0.0","0.0","65.0","134.0","87.0","24.0","667.0","778.0","304.0","568.0","293.0","530.0","274.0","485.0","14381.0","14381.0","0.0","29.0","0.0","0.0"
"2018-2019","Gujarat","Morbi","Wankaner                                          ","Khanpar","68.0","140.0","0.0","0.0","1.0","2.0","0.0","0.0","68.0","68.0","4.0","9.0","4.0","9.0","4.0","9.0","272.0","272.0","0.0","0.0","0.0","0.0"
"2023-2024","Gujarat","Mahisagar","Kadana","Ranakpur","504.0","1388.0","0.0","2.0","0.0","6.0","13.0","447.0","44.0","504.0","124.0","183.0","124.0","183.0","121.0","177.0","3286.0","3286.0","0.0","1.0","0.0","5.0"
"2019-2020","Maharashtra","Jalgaon","Bhadgaon","Shivani","289.0","670.0","0.0","0.0","3.0","8.0","26.0","11.0","240.0","277.0","119.0","181.0","119.0","181.0","112.0","166.0","4280.0","4280.0","0.0","6.0","0.0","1.0"
"2023-2024","Uttar Pradesh","Ghazipur","Sadat","Paliwar","577.0","804.0","100.0","147.0","0.0","0.0","67.0","5.0","505.0","577.0","361.0","476.0","361.0","476.0","278.0","355.0","9408.0","9408.0","0.0","0.0","0.0","0.0"
"2022-2023","Bihar","Pashchim Champaran","Lauriya","Belwa Lakhanpur","2584.0","3316.0","69.0","119.0","75.0","161.0","325.0","16.0","2240.0","2581.0","628.0","771.0","628.0","771.0","502.0","602.0","16159.0","16159.0","0.0","4.0","0.0","0.0"
"2018-2019","Telangana","Nalgonda","Chintha Palle","Gadya Gowraram","1000.0","2233.0","0.0","0.0","12.0","12.0","418.0","12.0","570.0","1000.0","674.0","1336.0","674.0","1336.0","555.0","972.0","19496.0","19496.0","0.0","9.0","91.0","18.0"
"2019-2020","Uttar Pradesh","Mathura","Raya","Nagla Hari","211.0","398.0","0.0","0.0","0.0","0.0","109.0","0.0","102.0","211.0","187.0","319.0","187.0","319.0","159.0","222.0","7865.0","7865.0","0.0","2.0","0.0","0.0"
"2021-2022","Mizoram","Aizawl","Aibawk","Aibawk","410.0","445.0","38.0","92.0","24.0","24.0","0.0","408.0","2.0","410.0","425.0","425.0","425.0","425.0","425.0","425.0","38020.0","38020.0","0.0","0.0","0.0","0.0"
"2022-2023","Tamil Nadu","Villupuram","Mugaiyur","Karanai","1701.0","2542.0","35.0","112.0","153.0","298.0","843.0","17.0","841.0","1701.0","1456.0","1759.0","1456.0","1759.0","1438.0","1719.0","37055.0","37055.0","0.0","10.0","0.0","52.0"
"2015-2016","Rajasthan","Dungarpur","Galiyakot","Sae‍Ma‍Laiya Ghaataa","710.0","2186.0","0.0","5.0","5.0","23.0","89.0","259.0","357.0","705.0","591.0","951.0","591.0","951.0","572.0","882.0","33553.0","33553.0","0.0","43.0","0.0","2.0"
"2015-2016","Jammu And Kashmir","Kishtwar","Mughal Maidan","Sigdi-A","604.0","794.0","2.0","2.0","19.0","37.0","3.0","226.0","340.0","569.0","338.0","364.0","338.0","364.0","317.0","342.0","21953.0","21953.0","0.0","4.0","0.0","0.0"
"2015-2016","Gujarat","Vadodara","Padra                                             ","Ambada","65.0","268.0","0.0","0.0","0.0","0.0","24.0","16.0","25.0","65.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2018-2019","Chhattisgarh","Bemetara","Bemetara","Dunda","266.0","826.0","1.0","7.0","4.0","38.0","27.0","2.0","237.0","266.0","256.0","740.0","256.0","740.0","173.0","387.0","7403.0","7403.0","0.0","19.0","0.0","1.0"
"2014-2015","Haryana","Yamunanagar","Saraswati Nagar","Lawani","46.0","84.0","5.0","9.0","0.0","0.0","16.0","0.0","30.0","46.0","15.0","15.0","15.0","15.0","15.0","15.0","105.0","105.0","0.0","0.0","0.0","0.0"
"2018-2019","Gujarat","Amreli","Babra                                             ","Karnuki","77.0","267.0","0.0","0.0","1.0","1.0","2.0","0.0","75.0","77.0","6.0","9.0","6.0","9.0","6.0","9.0","276.0","276.0","0.0","2.0","3.0","0.0"
"2021-2022","Jammu And Kashmir","Rajauri","Nowshera","Hanjana Khanka","498.0","870.0","9.0","28.0","0.0","7.0","289.0","16.0","162.0","467.0","298.0","464.0","298.0","464.0","296.0","459.0","15359.0","15359.0","0.0","19.0","0.0","0.0"
"2018-2019","Maharashtra","Aurangabad","Sillod","Nillod","1022.0","2468.0","1.0","5.0","9.0","58.0","37.0","9.0","974.0","1020.0","216.0","423.0","216.0","423.0","213.0","404.0","9161.0","9161.0","0.0","20.0","4.0","0.0"
"2018-2019","Karnataka","Raichur","Raichur","Kamalapur","1093.0","2560.0","10.0","31.0","24.0","79.0","257.0","361.0","475.0","1093.0","562.0","873.0","556.0","832.0","457.0","689.0","15991.0","15991.0","0.0","3.0","1.0","1.0"
"2016-2017","Uttarakhand","Pithoragarh","Didihat","Banku","87.0","140.0","90.0","158.0","0.0","4.0","8.0","0.0","78.0","86.0","51.0","78.0","51.0","78.0","45.0","68.0","1243.0","1243.0","0.0","0.0","0.0","0.0"
"2016-2017","Rajasthan","Bikaner","Nokha","Maainasar","1073.0","2715.0","117.0","668.0","4.0","43.0","319.0","2.0","746.0","1067.0","648.0","1034.0","648.0","1034.0","630.0","987.0","41889.0","41889.0","0.0","20.0","0.0","0.0"
"2016-2017","Uttarakhand","Tehri Garhwal","Thauldhar","Sankri","95.0","207.0","0.0","0.0","0.0","0.0","11.0","0.0","84.0","95.0","59.0","70.0","59.0","70.0","59.0","68.0","2867.0","2867.0","0.0","0.0","0.0","0.0"
"2020-2021","Maharashtra","Beed","Ashti","Shirapur","475.0","1278.0","0.0","0.0","1.0","2.0","11.0","75.0","388.0","474.0","14.0","31.0","14.0","31.0","14.0","28.0","759.0","530.0","229.0","3.0","0.0","0.0"
"2021-2022","Jammu And Kashmir","Kupwara","Machil","Hardring A","196.0","340.0","49.0","108.0","0.0","3.0","0.0","0.0","196.0","196.0","193.0","325.0","193.0","325.0","189.0","312.0","9662.0","9662.0","0.0","1.0","0.0","0.0"
"2022-2023","Uttar Pradesh","Kanpur Nagar","Ghatampur","Aswarmau","187.0","281.0","11.0","64.0","3.0","9.0","80.0","0.0","107.0","187.0","60.0","81.0","60.0","81.0","46.0","58.0","1693.0","1693.0","0.0","2.0","0.0","0.0"
"2020-2021","Haryana","Jhajjar","Jhajjar","Shekhupur Jat","165.0","258.0","0.0","2.0","25.0","40.0","34.0","0.0","131.0","165.0","50.0","72.0","50.0","72.0","43.0","61.0","1542.0","1542.0","0.0","0.0","0.0","0.0"
"2019-2020","Kerala","Kozhikode","Kunnummal","Maruthonkara","4334.0","8183.0","41.0","66.0","220.0","387.0","89.0","76.0","4169.0","4334.0","2932.0","3417.0","2927.0","3413.0","2800.0","3211.0","231907.0","231907.0","0.0","1552.0","0.0","6.0"
"2020-2021","Odisha","Mayurbhanj","Kaptipada","Salchua","1843.0","4239.0","58.0","228.0","317.0","615.0","193.0","863.0","658.0","1714.0","1358.0","2203.0","1358.0","2203.0","1214.0","1844.0","74055.0","74055.0","0.0","42.0","0.0","0.0"
"2019-2020","Uttar Pradesh","Saharanpur","Rampur Maniharan","Nainkhera","207.0","303.0","2.0","3.0","23.0","25.0","146.0","0.0","59.0","205.0","59.0","64.0","59.0","64.0","43.0","47.0","736.0","736.0","0.0","0.0","0.0","0.0"
"2022-2023","Punjab","Fatehgarh Sahib","Bassi Pathana","Mahadian","164.0","247.0","12.0","17.0","3.0","4.0","133.0","0.0","31.0","164.0","67.0","75.0","67.0","75.0","65.0","73.0","3876.0","3876.0","0.0","1.0","0.0","0.0"
"2016-2017","Andhra Pradesh","Chittoor","Pichatur","Pichaturu","465.0","966.0","6.0","90.0","55.0","74.0","114.0","38.0","313.0","465.0","133.0","160.0","124.0","147.0","99.0","108.0","3388.0","3388.0","0.0","6.0","15.0","1.0"
"2017-2018","Manipur","Tengnoupal","Moreh","Mongyamba Village","287.0","598.0","1.0","140.0","1.0","5.0","0.0","0.0","287.0","287.0","287.0","289.0","287.0","289.0","287.0","289.0","4018.0","4018.0","0.0","0.0","0.0","0.0"
"2016-2017","Rajasthan","Barmer","Gida","Devpura Urf Gogasar","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2017-2018","Uttar Pradesh","Budaun","Sahaswan","Abbunagar","220.0","320.0","1.0","1.0","9.0","12.0","3.0","0.0","216.0","219.0","92.0","109.0","92.0","109.0","76.0","83.0","2862.0","2862.0","0.0","0.0","0.0","0.0"
"2018-2019","Uttar Pradesh","Azamgarh","Koilsa","Lalpur","138.0","203.0","0.0","0.0","1.0","1.0","38.0","0.0","86.0","124.0","57.0","89.0","57.0","89.0","55.0","85.0","2366.0","2366.0","0.0","3.0","1.0","0.0"
"2023-2024","Madhya Pradesh","Tikamgarh","Jatara","Chhipari","526.0","921.0","39.0","125.0","67.0","110.0","39.0","9.0","410.0","458.0","186.0","305.0","186.0","304.0","180.0","291.0","8392.0","8392.0","0.0","2.0","0.0","0.0"
"2017-2018","Uttar Pradesh","Ghazipur","Kasimabad","Nagawa","243.0","280.0","0.0","0.0","11.0","11.0","137.0","0.0","86.0","223.0","81.0","90.0","80.0","89.0","65.0","71.0","2621.0","2621.0","0.0","0.0","0.0","0.0"
"2022-2023","Bihar","Sitamarhi","Sonbarsa","Dostia","3734.0","4148.0","165.0","233.0","116.0","209.0","367.0","6.0","3361.0","3734.0","468.0","540.0","468.0","540.0","387.0","443.0","21979.0","21979.0","0.0","0.0","0.0","1.0"
"2015-2016","Rajasthan","Nagaur","Riyan","Bggda+","1065.0","2753.0","7.0","114.0","0.0","15.0","343.0","0.0","721.0","1064.0","953.0","1665.0","953.0","1665.0","936.0","1590.0","53677.0","53677.0","0.0","22.0","0.0","0.0"
"2022-2023","Uttar Pradesh","Sultanpur","Lambhua","Dhariyamau","349.0","394.0","197.0","311.0","51.0","54.0","44.0","0.0","258.0","302.0","102.0","110.0","102.0","110.0","99.0","105.0","5246.0","5245.0","1.0","3.0","0.0","0.0"
"2019-2020","Uttar Pradesh","Basti","Vikram Jot","Ekma Hiraniya","390.0","456.0","0.0","0.0","21.0","22.0","82.0","0.0","306.0","388.0","147.0","166.0","147.0","166.0","117.0","129.0","5707.0","5707.0","0.0","0.0","0.0","0.0"
"2016-2017","Uttar Pradesh","Sitapur","Parsendi","Madnapur","371.0","480.0","25.0","40.0","48.0","84.0","118.0","7.0","210.0","335.0","128.0","133.0","128.0","133.0","117.0","120.0","5153.0","5153.0","0.0","0.0","0.0","0.0"
"2021-2022","Uttar Pradesh","Budaun","Samrer","Bauthriya","186.0","217.0","0.0","0.0","44.0","45.0","6.0","0.0","180.0","186.0","120.0","126.0","120.0","126.0","102.0","106.0","4127.0","4127.0","0.0","0.0","0.0","1.0"
"2017-2018","Karnataka","Chikkamagaluru","Kadur","Ganganahalli","483.0","1406.0","6.0","87.0","17.0","79.0","127.0","0.0","356.0","483.0","191.0","560.0","189.0","553.0","182.0","523.0","8225.0","8225.0","0.0","0.0","0.0","0.0"
"2015-2016","Karnataka","Bengaluru","Anekal","Indlawadi","1316.0","3549.0","0.0","0.0","4.0","14.0","411.0","98.0","807.0","1316.0","25.0","70.0","23.0","65.0","11.0","28.0","417.0","417.0","0.0","0.0","0.0","0.0"
"2015-2016","Maharashtra","Raigad","Poladpur","Turbhe Khonda","57.0","136.0","0.0","0.0","0.0","0.0","0.0","0.0","57.0","57.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2022-2023","Madhya Pradesh","Khandwa","Pandhana","Rustampur","511.0","1212.0","0.0","0.0","2.0","13.0","47.0","110.0","327.0","484.0","282.0","516.0","282.0","516.0","238.0","406.0","10595.0","10595.0","0.0","0.0","0.0","0.0"
"2016-2017","Uttar Pradesh","Mahoba","Panwari","Natarra","337.0","767.0","56.0","219.0","1.0","12.0","84.0","0.0","253.0","337.0","222.0","431.0","222.0","431.0","220.0","410.0","6699.0","6699.0","0.0","2.0","0.0","0.0"
"2015-2016","Andhra Pradesh","Anantapur","Penu Konda","Venkatagiri Palem","448.0","1135.0","1.0","4.0","1.0","1.0","67.0","46.0","335.0","448.0","225.0","408.0","225.0","408.0","213.0","382.0","21429.0","21429.0","0.0","121.0","195.0","5.0"
"2023-2024","Chhattisgarh","Raigarh","Lailunga","Karwarjor","272.0","671.0","113.0","286.0","0.0","2.0","12.0","168.0","91.0","271.0","141.0","311.0","141.0","311.0","133.0","273.0","5021.0","5021.0","0.0","3.0","0.0","2.0"
"2017-2018","Jammu And Kashmir","Kupwara","Mawar Qalamabad","Bandy","133.0","225.0","14.0","32.0","12.0","31.0","0.0","1.0","119.0","120.0","75.0","113.0","75.0","113.0","68.0","94.0","2939.0","2939.0","0.0","0.0","0.0","0.0"
"2014-2015","Haryana","Palwal","Hathin","Hathin","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2015-2016","Maharashtra","Jalgaon","Dharangaon","Nanded","438.0","990.0","0.0","0.0","27.0","40.0","31.0","34.0","372.0","437.0","18.0","25.0","18.0","25.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016-2017","Uttar Pradesh","Gonda","Paraspur","Changeri","212.0","218.0","69.0","78.0","17.0","17.0","16.0","1.0","158.0","175.0","89.0","89.0","89.0","89.0","78.0","78.0","1359.0","1359.0","0.0","0.0","2.0","0.0"
"2016-2017","Chhattisgarh","Balod","Gunderdehi","Sikosa","714.0","1598.0","0.0","6.0","24.0","68.0","238.0","19.0","456.0","713.0","325.0","427.0","325.0","427.0","224.0","237.0","1859.0","1859.0","0.0","0.0","0.0","1.0"
"2021-2022","Manipur","Kangpokpi","Lhungtin  Td Block","Samusong","50.0","88.0","0.0","2.0","0.0","5.0","0.0","50.0","0.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","2500.0","2500.0","0.0","0.0","0.0","0.0"
"2020-2021","Uttar Pradesh","Maharajganj","Nautanwa","Jhingati","248.0","386.0","0.0","0.0","14.0","31.0","45.0","0.0","199.0","244.0","188.0","238.0","188.0","238.0","159.0","183.0","10115.0","10115.0","0.0","29.0","0.0","1.0"
"2015-2016","Chhattisgarh","Janjgir-Champa","Balauda","Pantora","457.0","1355.0","1.0","231.0","2.0","25.0","30.0","105.0","320.0","455.0","211.0","540.0","211.0","540.0","183.0","390.0","7565.0","7565.0","0.0","11.0","0.0","0.0"
"2021-2022","Himachal Pradesh","Kangra","Dehra Gopipur","Dhated","336.0","639.0","2.0","7.0","14.0","27.0","11.0","0.0","288.0","299.0","148.0","186.0","148.0","186.0","139.0","169.0","6935.0","6935.0","0.0","19.0","0.0","0.0"
"2018-2019","Manipur","Kangpokpi","Saitu Gamphazol","Moulthang","30.0","60.0","0.0","0.0","0.0","0.0","0.0","30.0","0.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","573.0","573.0","0.0","0.0","0.0","0.0"
"2014-2015","Maharashtra","Nanded","Naigaon (Kh)","Kandala","233.0","836.0","0.0","1.0","11.0","43.0","80.0","23.0","130.0","233.0","38.0","73.0","38.0","73.0","38.0","72.0","1395.0","1395.0","0.0","2.0","0.0","0.0"
"2015-2016","Jharkhand","Khunti","Torpa","Ukrimari","1126.0","2716.0","2.0","24.0","26.0","88.0","21.0","871.0","234.0","1126.0","484.0","706.0","484.0","706.0","459.0","636.0","30686.0","30686.0","0.0","75.0","1.0","0.0"
"2020-2021","Karnataka","Bengaluru","Anekal","Bidaraguppe","812.0","1401.0","0.0","0.0","40.0","92.0","351.0","17.0","440.0","808.0","43.0","87.0","41.0","83.0","40.0","81.0","1609.0","1609.0","0.0","2.0","0.0","0.0"
"2015-2016","Madhya Pradesh","Guna","Aron","Sarai","360.0","744.0","121.0","279.0","0.0","4.0","52.0","87.0","201.0","340.0","143.0","277.0","143.0","277.0","85.0","167.0","2921.0","2921.0","0.0","1.0","0.0","0.0"
"2019-2020","Maharashtra","Bhandara","Mohadi","Bondri","232.0","718.0","0.0","1.0","2.0","11.0","16.0","70.0","146.0","232.0","230.0","705.0","230.0","705.0","154.0","338.0","7925.0","7925.0","0.0","15.0","0.0","12.0"
"2023-2024","Uttar Pradesh","Hapur","Simbhawali","Tigari","150.0","168.0","5.0","6.0","1.0","1.0","63.0","0.0","56.0","119.0","9.0","9.0","9.0","9.0","9.0","9.0","190.0","190.0","0.0","0.0","0.0","0.0"
"2014-2015","Uttar Pradesh","Gorakhpur","Uruwa","Chhedi Dadwa","204.0","343.0","0.0","0.0","6.0","11.0","72.0","1.0","128.0","201.0","107.0","122.0","107.0","122.0","105.0","119.0","3362.0","3362.0","0.0","4.0","0.0","0.0"
"2015-2016","Uttar Pradesh","Kashganj","Soron","Dorai","329.0","658.0","7.0","14.0","6.0","17.0","100.0","0.0","220.0","320.0","119.0","179.0","119.0","179.0","96.0","133.0","1902.0","1902.0","0.0","2.0","0.0","0.0"
"2021-2022","Chhattisgarh","Raipur","Arang","Palaud","637.0","1383.0","0.0","0.0","25.0","62.0","122.0","11.0","504.0","637.0","401.0","748.0","401.0","748.0","359.0","605.0","17692.0","17039.0","653.0","32.0","0.0","29.0"
"2022-2023","Uttar Pradesh","Sant Ravidas Nagar","Suriyavan","Bhat","261.0","308.0","19.0","33.0","4.0","5.0","128.0","0.0","133.0","261.0","97.0","102.0","97.0","102.0","83.0","85.0","2457.0","2457.0","0.0","0.0","0.0","0.0"
"2016-2017","Maharashtra","Beed","Bid","Babhulwadi","280.0","1026.0","17.0","79.0","16.0","110.0","0.0","0.0","280.0","280.0","145.0","430.0","145.0","430.0","135.0","382.0","13818.0","13818.0","0.0","52.0","0.0","0.0"
"2018-2019","Gujarat","Tapi","Songadh","Bharadada","278.0","549.0","51.0","102.0","9.0","15.0","0.0","264.0","14.0","278.0","201.0","236.0","201.0","234.0","150.0","163.0","2697.0","2697.0","0.0","0.0","0.0","3.0"
"2018-2019","Uttar Pradesh","Farrukhabad","Barhpur","Hathipur","159.0","210.0","0.0","0.0","4.0","7.0","43.0","0.0","115.0","158.0","14.0","17.0","14.0","17.0","13.0","16.0","309.0","309.0","0.0","0.0","2.0","0.0"
"2020-2021","Uttar Pradesh","Unnao","Purwa","Muhiuddin Pur","517.0","703.0","0.0","0.0","57.0","107.0","214.0","0.0","293.0","507.0","303.0","391.0","303.0","391.0","289.0","357.0","8414.0","8414.0","0.0","4.0","0.0","0.0"
"2023-2024","Tripura","Unakoti","Pecharthal","Sonarampara","608.0","1138.0","1.0","10.0","7.0","28.0","1.0","564.0","6.0","571.0","489.0","919.0","489.0","919.0","483.0","911.0","25057.0","25057.0","0.0","30.0","0.0","0.0"
"2014-2015","Chhattisgarh","Raigarh","Raigarh","Viswanathpali","350.0","771.0","0.0","0.0","0.0","0.0","9.0","108.0","233.0","350.0","122.0","177.0","122.0","177.0","98.0","141.0","2772.0","2772.0","0.0","0.0","0.0","0.0"
"2015-2016","Uttarakhand","Rudra Prayag","Jakholi","Ghanghad","290.0","410.0","0.0","0.0","13.0","25.0","40.0","0.0","245.0","285.0","74.0","91.0","74.0","91.0","59.0","72.0","2018.0","2018.0","0.0","0.0","3.0","0.0"
"2015-2016","Maharashtra","Satara","Patan","Nanegaon Khurd","119.0","169.0","0.0","0.0","0.0","0.0","3.0","9.0","107.0","119.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2017-2018","Madhya Pradesh","Vidisha","Kurwai","Barkheda Pathari","257.0","296.0","0.0","2.0","102.0","105.0","2.0","0.0","252.0","254.0","119.0","137.0","119.0","137.0","89.0","104.0","4021.0","4021.0","0.0","12.0","0.0","0.0"
"2016-2017","Uttar Pradesh","Saharanpur","Sadauli Qadeem","Ishaqpur Chaichi","194.0","300.0","49.0","109.0","10.0","12.0","11.0","0.0","179.0","190.0","123.0","159.0","123.0","159.0","102.0","129.0","1308.0","1308.0","0.0","0.0","0.0","0.0"
"2017-2018","Tamil Nadu","Ramanathapuram","Kamuthi","Erumaikulam","232.0","386.0","9.0","33.0","0.0","4.0","13.0","0.0","218.0","231.0","177.0","278.0","177.0","278.0","172.0","265.0","7841.0","7841.0","0.0","2.0","0.0","0.0"
"2022-2023","Andhra Pradesh","Annamayya","Rayachoti","Pemmadapalle","631.0","929.0","194.0","488.0","33.0","43.0","90.0","4.0","537.0","631.0","675.0","985.0","675.0","985.0","598.0","791.0","32185.0","32185.0","0.0","0.0","0.0","2.0"
"2016-2017","Uttar Pradesh","Kannauj","Chhibramau","Atirajpur","151.0","210.0","16.0","22.0","2.0","3.0","17.0","0.0","125.0","142.0","29.0","29.0","29.0","29.0","19.0","19.0","458.0","458.0","0.0","0.0","1.0","0.0"
"2016-2017","Uttar Pradesh","Azamgarh","Martinganj","Kamalpur","172.0","172.0","0.0","0.0","170.0","170.0","1.0","1.0","61.0","63.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2020-2021","Madhya Pradesh","Vidisha","Basoda","Badwasa","190.0","293.0","0.0","0.0","85.0","127.0","42.0","26.0","89.0","157.0","121.0","184.0","121.0","184.0","114.0","158.0","6126.0","6126.0","0.0","0.0","0.0","1.0"
"2023-2024","Gujarat","Arvalli","Modasa","Vanta(Rampur)","415.0","482.0","1.0","1.0","13.0","14.0","22.0","0.0","392.0","414.0","108.0","122.0","108.0","122.0","108.0","122.0","7014.0","7014.0","0.0","8.0","0.0","0.0"
"2020-2021","Uttar Pradesh","Mainpuri","Bewar","Harjapur","288.0","324.0","0.0","0.0","133.0","137.0","106.0","9.0","168.0","283.0","182.0","192.0","182.0","192.0","135.0","141.0","6060.0","6060.0","0.0","27.0","0.0","0.0"
"2017-2018","Uttar Pradesh","Sant Ravidas Nagar","Abholi","Shripur","169.0","310.0","2.0","4.0","6.0","8.0","72.0","0.0","94.0","166.0","108.0","180.0","104.0","169.0","57.0","88.0","1986.0","1986.0","0.0","0.0","0.0","0.0"
"2023-2024","Rajasthan","Barmer","Sedwa","Jaton Ka Bera","639.0","1254.0","0.0","0.0","16.0","35.0","93.0","50.0","487.0","630.0","489.0","876.0","489.0","876.0","463.0","819.0","17885.0","17885.0","0.0","0.0","0.0","0.0"
"2019-2020","Maharashtra","Solapur","Karmala","Sade","616.0","994.0","0.0","1.0","2.0","14.0","32.0","50.0","437.0","519.0","25.0","46.0","25.0","46.0","24.0","43.0","653.0","653.0","0.0","0.0","0.0","0.0"
